,Participant ID,Urban/Rural,Age Group,Marital Status,sex,Kids under 14,Feeling Rushed,Sleep duration,Work duration,Prov_ab,Employment Rate,Pct house over 30,region,Income
0,10000,1,5,5,1,0,1,510,0,MB,61.7,11.4,Prairies,68147.0
1,10009,1,6,3,1,0,6,540,0,MB,61.7,11.4,Prairies,68147.0
2,10016,2,7,1,1,0,6,660,0,MB,61.7,11.4,Prairies,68147.0
3,10023,1,6,1,2,0,3,330,0,MB,61.7,11.4,Prairies,68147.0
4,10047,2,7,1,1,0,3,510,0,MB,61.7,11.4,Prairies,68147.0
5,10087,1,3,1,1,0,2,300,735,MB,61.7,11.4,Prairies,68147.0
6,10092,1,6,3,2,0,2,690,0,MB,61.7,11.4,Prairies,68147.0
7,10095,1,2,1,2,0,2,450,540,MB,61.7,11.4,Prairies,68147.0
8,10121,1,3,6,2,0,2,570,495,MB,61.7,11.4,Prairies,68147.0
9,10147,1,6,1,2,0,2,525,0,MB,61.7,11.4,Prairies,68147.0
10,10211,1,5,1,2,0,3,455,0,MB,61.7,11.4,Prairies,68147.0
11,10232,2,7,3,2,0,6,570,0,MB,61.7,11.4,Prairies,68147.0
12,10240,1,3,1,2,1,1,660,470,MB,61.7,11.4,Prairies,68147.0
13,10308,1,4,5,2,0,2,1110,0,MB,61.7,11.4,Prairies,68147.0
14,10310,2,2,1,1,2,2,500,0,MB,61.7,11.4,Prairies,68147.0
15,10319,2,2,1,2,3,3,605,0,MB,61.7,11.4,Prairies,68147.0
16,10334,1,5,1,1,0,3,340,495,MB,61.7,11.4,Prairies,68147.0
17,10337,2,3,1,1,0,1,370,625,MB,61.7,11.4,Prairies,68147.0
18,10341,1,7,6,2,0,97,360,0,MB,61.7,11.4,Prairies,68147.0
19,10346,1,4,1,2,0,2,410,430,MB,61.7,11.4,Prairies,68147.0
20,10388,2,1,6,1,0,3,375,585,MB,61.7,11.4,Prairies,68147.0
21,10395,2,6,3,2,0,2,570,0,MB,61.7,11.4,Prairies,68147.0
22,10440,2,5,1,2,0,3,540,0,MB,61.7,11.4,Prairies,68147.0
23,10441,1,1,6,2,0,2,705,0,MB,61.7,11.4,Prairies,68147.0
24,10444,1,6,1,1,0,1,780,600,MB,61.7,11.4,Prairies,68147.0
25,10453,1,3,1,1,0,3,440,550,MB,61.7,11.4,Prairies,68147.0
26,10491,1,3,1,2,1,4,560,0,MB,61.7,11.4,Prairies,68147.0
27,10497,2,6,1,2,0,3,480,0,MB,61.7,11.4,Prairies,68147.0
28,10523,1,1,6,2,1,2,540,0,MB,61.7,11.4,Prairies,68147.0
29,10561,2,5,6,1,0,3,595,0,MB,61.7,11.4,Prairies,68147.0
30,10563,2,5,4,1,0,2,710,0,MB,61.7,11.4,Prairies,68147.0
31,10572,1,4,6,2,2,1,680,0,MB,61.7,11.4,Prairies,68147.0
32,10585,1,3,1,1,2,1,420,0,MB,61.7,11.4,Prairies,68147.0
33,10588,1,4,6,2,0,4,390,0,MB,61.7,11.4,Prairies,68147.0
34,10594,2,2,1,2,0,1,390,480,MB,61.7,11.4,Prairies,68147.0
35,10634,1,3,2,1,2,2,540,555,MB,61.7,11.4,Prairies,68147.0
36,10641,2,5,1,1,0,1,420,0,MB,61.7,11.4,Prairies,68147.0
37,10667,1,3,5,1,0,1,645,0,MB,61.7,11.4,Prairies,68147.0
38,10731,1,2,1,1,0,1,1120,0,MB,61.7,11.4,Prairies,68147.0
39,10742,1,5,1,2,0,3,555,0,MB,61.7,11.4,Prairies,68147.0
40,10747,2,3,1,1,0,1,530,0,MB,61.7,11.4,Prairies,68147.0
41,10754,1,2,4,2,2,1,480,0,MB,61.7,11.4,Prairies,68147.0
42,10770,1,5,1,1,0,2,420,0,MB,61.7,11.4,Prairies,68147.0
43,10786,2,7,1,2,0,4,545,0,MB,61.7,11.4,Prairies,68147.0
44,10805,2,6,1,1,0,2,510,0,MB,61.7,11.4,Prairies,68147.0
45,10807,1,6,6,1,0,2,650,0,MB,61.7,11.4,Prairies,68147.0
46,10822,1,6,1,1,0,2,495,0,MB,61.7,11.4,Prairies,68147.0
47,10832,2,6,6,2,0,3,630,0,MB,61.7,11.4,Prairies,68147.0
48,10856,1,2,1,1,0,1,615,0,MB,61.7,11.4,Prairies,68147.0
49,10861,1,6,1,2,0,2,435,0,MB,61.7,11.4,Prairies,68147.0
50,10866,2,6,1,2,0,6,510,0,MB,61.7,11.4,Prairies,68147.0
51,10876,1,4,1,1,1,1,420,515,MB,61.7,11.4,Prairies,68147.0
52,10895,2,6,1,1,0,4,540,0,MB,61.7,11.4,Prairies,68147.0
53,10917,1,6,3,2,0,3,490,0,MB,61.7,11.4,Prairies,68147.0
54,10921,1,5,5,2,0,2,725,225,MB,61.7,11.4,Prairies,68147.0
55,10946,1,7,5,2,0,1,810,0,MB,61.7,11.4,Prairies,68147.0
